,날짜,영화명,평점
158,20200804,우리들,9.25
159,20200804,피아니스트의 전설,9.25
160,20200804,바람과 함께 사라지다,9.24
161,20200804,톰보이,9.22
162,20200804,스타 이즈 본,9.18
163,20200804,에이리언,9.12
164,20200804,샤인,9.08
165,20200804,미스비헤이비어,9.05
166,20200804,타오르는 여인의 초상,9.05
167,20200804,박하사탕,9.04
168,20200804,미져리,9.02
169,20200804,"안녕, 나의 소울메이트",8.98
170,20200804,온워드: 단 하루의 기적,8.97
171,20200804,미션,8.92
172,20200804,여배우는 오늘도,8.85
173,20200804,시티 오브 갓,8.84
174,20200804,아멜리에,8.82
175,20200804,미녀와 야수,8.78
176,20200804,소공녀,8.77
177,20200804,벌새,8.76
178,20200804,베스트 오퍼,8.64
179,20200804,카메라를 멈추면 안 돼!,8.63
180,20200804,트로이,8.62
181,20200804,라라랜드,8.60
182,20200804,플라이,8.60
183,20200804,찬실이는 복도 많지,8.60
184,20200804,내일을 위한 시간,8.54
185,20200804,헤이트풀8,8.45
186,20200804,캐리,8.43
187,20200804,울프 콜,8.42
188,20200804,소리꾼,8.35
189,20200804,다가오는 것들,8.33
190,20200804,카페 벨에포크,8.32
191,20200804,밤쉘: 세상을 바꾼 폭탄선언,8.26
192,20200804,원 데이,8.22
193,20200804,몽상가들,8.11
194,20200804,야구소녀,8.09
195,20200804,매치 포인트,7.97
196,20200804,존 윅,7.95
197,20200804,아들,7.86
198,20200804,도둑들,7.63
199,20200804,결백,7.61
200,20200805,가버나움,9.59
201,20200805,위대한 쇼맨,9.40
202,20200805,알라딘,9.38
203,20200805,소년시절의 너,9.37
204,20200805,에이리언 2,9.35
205,20200805,시네마 천국,9.31
206,20200805,패왕별희 디 오리지널,9.31
207,20200805,우리들,9.25
208,20200805,피아니스트의 전설,9.25
209,20200805,바람과 함께 사라지다,9.24
210,20200805,인셉션,9.23
211,20200805,톰보이,9.22
212,20200805,스타 이즈 본,9.18
213,20200805,에이리언,9.12
214,20200805,샤인,9.08
215,20200805,미스비헤이비어,9.05
216,20200805,타오르는 여인의 초상,9.05
217,20200805,박하사탕,9.04
218,20200805,미져리,9.02
219,20200805,"안녕, 나의 소울메이트",8.98
220,20200805,온워드: 단 하루의 기적,8.97
221,20200805,윤희에게,8.96
222,20200805,미션,8.92
223,20200805,여배우는 오늘도,8.85
224,20200805,시티 오브 갓,8.84
225,20200805,아멜리에,8.82
226,20200805,미녀와 야수,8.78
227,20200805,소공녀,8.77
228,20200805,벌새,8.76
229,20200805,베스트 오퍼,8.64
230,20200805,카메라를 멈추면 안 돼!,8.63
231,20200805,트로이,8.62
232,20200805,라라랜드,8.60
233,20200805,찬실이는 복도 많지,8.60
234,20200805,내일을 위한 시간,8.54
235,20200805,헤이트풀8,8.45
236,20200805,캐리,8.42
237,20200805,울프 콜,8.42
238,20200805,소리꾼,8.36
239,20200805,다가오는 것들,8.33
240,20200805,카페 벨에포크,8.31
241,20200805,밤쉘: 세상을 바꾼 폭탄선언,8.26
242,20200805,원 데이,8.22
243,20200805,몽상가들,8.11
244,20200805,야구소녀,8.10
245,20200805,다만 악에서 구하소서,8.03
246,20200805,매치 포인트,7.97
247,20200805,존 윅,7.95
248,20200805,아들,7.86
249,20200805,도둑들,7.63
